,title,price,rating,image,description,url
0,"Bose QuietComfort Bluetooth Headphones, Wireless Headphones, Over Ear Noise Cancelling Headphones with Mic, Up To 24 Hours of Battery Life, Black", ,4.6 ,https://m.media-amazon.com/images/I/51QeS0jkx-L.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Go beyond the beat and take control of the sound that puts you on top of the world with Bose QuietComfort Wireless Noise Cancelling Headphones. Experience powerful high-fidelity audio with legendary noise cancellation in these wireless Bluetooth headphones that allow you to block everything out but the beat and control what you hear. These Bose wireless headphones feature new custom modes that give you the power to adjust noise cancellation based in the moment and the option to turn on Wind Block to tune out breezy environments. Or simply toggle your Bose over ear headphones between Quiet and Aware Modes for a quick change when the world calls for it. These Bose wireless headphones come in Black, White Smoke, and a striking limited-edition Cypress Green headphones color option that are as bold as they are iconic. Adjustable EQ puts you in control of tuning your music and Spotify Tap starts your listening session at the push of a button on the side of the over the ear headphones. With up to 24 hours of battery life on a single charge, your Bluetooth headphones are ready for any adventure. Multi-point toggle lets you switch between multiple wireless connections on these around ear headphones without disconnecting and reconnecting each time. Plug in the optional audio cable with in-line microphone into these wireless headphones to make the headphones wired and use without a Bluetooth connection. The Bose Music app guides you through setup, lets you personalize settings, and keeps your headphones’ software up-to-date. Press play and take charge of your music with Bose QuietComfort Noise Cancelling Headphones.",https://www.amazon.com/Bose-QuietComfort-Cancelling-Headphones-Bluetooth/dp/B0CCZ26B5V/ref=sr_1_1?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP72thzeyC_Ne2vKN8vfn0EppmhdCubw1GNis6x6VYlzmhYsO2f2F1xA6k8OMfNzm4n84uEcEZ5sfa02Yj03JGE7byRXGP5T5pu4PBmNe80nrp2mASkL0giYW5AMaxILqlGmJZPZk-sZ6xEJAWccq_W3tXsyG_0F4NhABTd94QaSR_rlaRMeYOHlW4FORXHX1HwKTDDl02K15aeUHVZdxXf9-Ce9VV34saNR8pER-W2hmGo1W4FCqNTaQHckDqHF_vxMX2coipyuxGdBRu4E8Abo.0PpufxojD0JqLsJN4xAm68nyKjydQSHcJ66Ie8X5Z1k&dib_tag=se&keywords=bose&qid=1726551305&s=aht&sr=1-1
1,"Raycon Everyday Wireless Bluetooth Over Ear Headphones, with Active Noise Cancelling, Awareness Mode and Built in Microphone, IPX 4 Water Resistance, 38 Hours of Battery Life (Rose Gold)",$99.99,4.5 ,https://m.media-amazon.com/images/I/61SFfv24dLL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTI1NzE4MjY1NTUzOTI3OjE3MjY1NTEzMDU6c3BfYXRmOjMwMDA2MDM5NDYyMjYwMjo6MDo6&url=%2FRaycon-Bluetooth-Headphones-Cancelling-Microphone%2Fdp%2FB08WHVFW1K%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP72thzeyC_Ne2vKN8vfn0EppmhdCubw1GNis6x6VYlzmhYsO2f2F1xA6k8OMfNzm4n84uEcEZ5sfa02Yj03JGE7byRXGP5T5pu4PBmNe80nrp2mASkL0giYW5AMaxILqlGmJZPZk-sZ6xEJAWccq_W3tXsyG_0F4NhABTd94QaSR_rlaRMeYOHlW4FORXHX1HwKTDDl02K15aeUHVZdxXf9-Ce9VV34saNR8pER-W2hmGo1W4FCqNTaQHckDqHF_vxMX2coipyuxGdBRu4E8Abo.0PpufxojD0JqLsJN4xAm68nyKjydQSHcJ66Ie8X5Z1k%26dib_tag%3Dse%26keywords%3Dbose%26qid%3D1726551305%26s%3Daht%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Bose QuietComfort Ultra Bluetooth Headphones, Wireless Headphones with Spatial Audio, Over Ear Noise Cancelling Headphones with Mic, Up To 24 Hours of Battery Life, Black",$429.00,4.3 ,https://m.media-amazon.com/images/I/51NC9ErIQtL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Bose QuietComfort Ultra Headphones take everything music makes you feel to new highs. The high-end headphones start with world-class noise cancellation that’s quieter than its predecessors. Breakthrough spatial audio headphones allow your music to feel more immersive than ever before. Bose Immersive Audio takes what you’re hearing out of your head and places it in front of you for the most natural listening experience, no matter the content or source. CustomTune technology upgrades sound even more by analyzing your ear’s shape and adapting the audio performance so everything you listen to hits exactly as it should. Noise cancelling headphones with mic feature a revolutionary system of mics that focus on your voice, allowing you to enjoy crystal clear phone calls. These noise cancelling over-the-ear headphones keep the session going with up to 24 hours of battery life (up to 18 hours with Immersive Audio) and unrivaled comfort from luxe materials. The earcups wrap your ears in a soft hug while the band spreads pressure evenly. The sleek metal arms add a statement of sophisticated design for ideal audiophile headphones. Sync sound between your QC Ultra Headphones and a Bose smart soundbar with SimpleSync technology. The headphones also feature Snapdragon Sound Certification for Android and quick pairing with Google Fast Pair. Connect these wireless Bluetooth noise cancelling headphones to your devices with advanced Bluetooth 5.3. Keep track of what you have paired in the Bose Music app. The app makes setup quick and easy, gives you access to Adjustable EQ settings and more.",https://www.amazon.com/Bose-QuietComfort-Wireless-Cancelling-Headphones/dp/B0CCZ1L489/ref=sr_1_3?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP72thzeyC_Ne2vKN8vfn0EppmhdCubw1GNis6x6VYlzmhYsO2f2F1xA6k8OMfNzm4n84uEcEZ5sfa02Yj03JGE7byRXGP5T5pu4PBmNe80nrp2mASkL0giYW5AMaxILqlGmJZPZk-sZ6xEJAWccq_W3tXsyG_0F4NhABTd94QaSR_rlaRMeYOHlW4FORXHX1HwKTDDl02K15aeUHVZdxXf9-Ce9VV34saNR8pER-W2hmGo1W4FCqNTaQHckDqHF_vxMX2coipyuxGdBRu4E8Abo.0PpufxojD0JqLsJN4xAm68nyKjydQSHcJ66Ie8X5Z1k&dib_tag=se&keywords=bose&qid=1726551305&s=aht&sr=1-3
3,"Bose QuietComfort 45 Wireless Bluetooth Noise Cancelling Headphones, Over-Ear Headphones with Microphone, Personalized Noise Cancellation and Sound, Triple Black",$239.00,4.6 ,https://m.media-amazon.com/images/I/51Ltm3tbH2L.__AC_SX300_SY300_QL70_FMwebp_.jpg,"The first noise cancelling headphones are back, with quiet, lightweight materials, and proprietary technology for deep, clear sound and adjustable EQ so you can tune your music to your liking. Bose QuietComfort 45 headphones aren’t just an icon reborn – they’re the perfect balance of quiet, comfort, and sound. Plus, everything that made the first around ear headphones an icon is still here. Just refined. Like an updated design with smooth cushions and a clean look. Plush synthetic leather, impact-resistant glass-filled nylon, and cast-metal hinges were all selected for their comfort as well as their durability. Add in minimal clamping force, and you’ll almost forget you’re wearing Bluetooth wireless noise cancelling headphones. Enhanced Acoustic Noise Cancelling™ technology produces the true quiet needed to hear every detail of your music in high fidelity. Or, choose the new Aware Mode to hear your music and your environment together. TriPort acoustic architecture and Bose's innovative Volume-optimized Active EQ add depth and clarity while maintaining balance at any volume. And lightweight materials such as synthetic leather and glass-filled nylon were meticulously selected for comfort and durability. The headphones offer 24 hours of play time*, charge via USB-C®, and feature six microphones for clearer calls. Bluetooth® 5.1 maintains a strong connection, and the Bose app guides you through setup, lets you personalize settings, and keeps your headphones’ software up to date.",https://www.amazon.com/Bose-QuietComfort-45-Bluetooth-Canceling-Headphones/dp/B098FKXT8L/ref=sr_1_4?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP72thzeyC_Ne2vKN8vfn0EppmhdCubw1GNis6x6VYlzmhYsO2f2F1xA6k8OMfNzm4n84uEcEZ5sfa02Yj03JGE7byRXGP5T5pu4PBmNe80nrp2mASkL0giYW5AMaxILqlGmJZPZk-sZ6xEJAWccq_W3tXsyG_0F4NhABTd94QaSR_rlaRMeYOHlW4FORXHX1HwKTDDl02K15aeUHVZdxXf9-Ce9VV34saNR8pER-W2hmGo1W4FCqNTaQHckDqHF_vxMX2coipyuxGdBRu4E8Abo.0PpufxojD0JqLsJN4xAm68nyKjydQSHcJ66Ie8X5Z1k&dib_tag=se&keywords=bose&qid=1726551305&s=aht&sr=1-4
4,"Bose Headphones 700, Noise Cancelling Bluetooth Over-Ear Wireless Headphones with Built-In Microphone for Clear Calls and Alexa Voice Control, Black",$249.95,4.5 ,https://m.media-amazon.com/images/I/61rgsnfRJlL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"Bose Noise Cancelling Headphones 700 have redefined what wireless headphones can do. Keep your head up to the world with easy access to voice assistants — perfect for music, navigation, weather, and more. Confidently take calls or speak to Alexa anywhere. An unrivaled four-microphone system picks up and isolates your voice while cancelling the noise around you. With these Bluetooth headphones, Bose has even improved on what it’s most known for. 11 levels of noise cancellation let you truly personalize your environment. Set it low to let more of the world In, somewhere in the middle, or turn it all the way up to block out the noisy world around you. Signature active EQ promises an immersive listening experience at any volume. Whether you’re relaxing with quiet music or really cranking it, your music sounds like it should. These touch-sensitive wireless headphones are also designed with a streamlined stainless steel headband, and a lightweight, comfortable fit. The intuitive controls keep everything simple — manage volume, calls, and music just by touching the earcup. One touch is all you need to reach Spotify — instantly open your last session by tapping and holding the right earcup. You can repeat this step to discover brand new content. The Bose app gives you even more control. The Bluetooth headphones feature up to 20 hours of wireless battery life. Includes Bose Noise Cancelling Headphones 700, USB charging cable, audio cable, and carrying case. Available in Black or Silver.",https://www.amazon.com/Bose-Cancelling-Wireless-Bluetooth-Headphones/dp/B07Q9MJKBV/ref=sr_1_5?dib=eyJ2IjoiMSJ9.pCIyXyl6jitR9GPiizoNP72thzeyC_Ne2vKN8vfn0EppmhdCubw1GNis6x6VYlzmhYsO2f2F1xA6k8OMfNzm4n84uEcEZ5sfa02Yj03JGE7byRXGP5T5pu4PBmNe80nrp2mASkL0giYW5AMaxILqlGmJZPZk-sZ6xEJAWccq_W3tXsyG_0F4NhABTd94QaSR_rlaRMeYOHlW4FORXHX1HwKTDDl02K15aeUHVZdxXf9-Ce9VV34saNR8pER-W2hmGo1W4FCqNTaQHckDqHF_vxMX2coipyuxGdBRu4E8Abo.0PpufxojD0JqLsJN4xAm68nyKjydQSHcJ66Ie8X5Z1k&dib_tag=se&keywords=bose&qid=1726551305&s=aht&sr=1-5
5,"Bose QuietComfort 45 Wireless Bluetooth Noise Cancelling Headphones, Over-Ear Headphones with Microphone, Personalized Noise Cancellation and Sound, White Smoke",$259.95,4.7 ,https://m.media-amazon.com/images/I/51iAp-Nq7FL.__AC_SX300_SY300_QL70_FMwebp_.jpg,"The first noise cancelling headphones are back, with quiet, lightweight materials, and proprietary technology for deep, clear sound and adjustable EQ so you can tune your music to your liking. Bose QuietComfort 45 headphones aren’t just an icon reborn – they’re the perfect balance of quiet, comfort, and sound. Plus, everything that made the first around ear headphones an icon is still here. Just refined. Like an updated design with smooth cushions and a clean look. Plush synthetic leather, impact-resistant glass-filled nylon, and cast-metal hinges were all selected for their comfort as well as their durability. Add in minimal clamping force, and you’ll almost forget you’re wearing Bluetooth wireless noise cancelling headphones. Enhanced Acoustic Noise Cancelling™ technology produces the true quiet needed to hear every detail of your music in high fidelity. Or, choose the new Aware Mode to hear your music and your environment together. TriPort acoustic architecture and Bose's innovative Volume-optimized Active EQ add depth and clarity while maintaining balance at any volume. And lightweight materials such as synthetic leather and glass-filled nylon were meticulously selected for comfort and durability. The headphones offer 24 hours of play time*, charge via USB-C®, and feature six microphones for clearer calls. Bluetooth® 5.1 maintains a strong connection, and the Bose app guides you through setup, lets you personalize settings, and keeps your headphones’ software up to date.",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDcyMjA1Nzg3NDM1OToxNzI2NTUxMzA1OnNwX3NlYXJjaF90aGVtYXRpYzozMDAxMDYyNTA2MTI2MDI6OjA6Og&url=%2FBose-QuietComfort-Bluetooth-Cancelling-Headphones%2Fdp%2FB098FH5P3C%2Fref%3Dsxin_16_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%253Aamzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%26cv_ct_cx%3Dbose%26dib%3DeyJ2IjoiMSJ9.RwL4KX9ewANA3oJ9APhCELsaBrwYLbpxsI85zC0Wia5I6I1z_LrArp2p6uNLQ1x2UcFxjL-iJkWYe8Uc47J6TQ.oH3vus-r66Y1d9TVuQpsdAO0WFOr-mM1FeSDV1oelJM%26dib_tag%3Dse%26keywords%3Dbose%26pd_rd_i%3DB098FH5P3C%26pd_rd_r%3D6b735115-a94d-41db-8a08-8a5fa7fcb7eb%26pd_rd_w%3DmdmDb%26pd_rd_wg%3Di2GKP%26pf_rd_p%3D8ba93e34-ad2d-485f-8484-0155afe925e7%26pf_rd_r%3D48FRF7ZH0RRWQSGKXD9G%26qid%3D1726551305%26s%3Daht%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-1-baa1f287-65d3-41a3-a655-8bbba0531537-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
6,"TOZO HT2 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 60H Playtime, Hi-Res Audio Custom EQ via App Deep Bass Comfort Fit Ear Cups, for Home Office Travel",$49.99,4.5 ,https://m.media-amazon.com/images/I/71r8yUTZQnL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDcyMjA1Nzg3NDM1OToxNzI2NTUxMzA1OnNwX3NlYXJjaF90aGVtYXRpYzozMDAzNDcxODQ5ODU5MDI6OjE6Og&url=%2FTOZO-HT2-Cancelling-Headphones-Bluetooth%2Fdp%2FB07KY8G9NM%2Fref%3Dsxin_16_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%253Aamzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%26cv_ct_cx%3Dbose%26dib%3DeyJ2IjoiMSJ9.RwL4KX9ewANA3oJ9APhCELsaBrwYLbpxsI85zC0Wia5I6I1z_LrArp2p6uNLQ1x2UcFxjL-iJkWYe8Uc47J6TQ.oH3vus-r66Y1d9TVuQpsdAO0WFOr-mM1FeSDV1oelJM%26dib_tag%3Dse%26keywords%3Dbose%26pd_rd_i%3DB07KY8G9NM%26pd_rd_r%3D6b735115-a94d-41db-8a08-8a5fa7fcb7eb%26pd_rd_w%3DmdmDb%26pd_rd_wg%3Di2GKP%26pf_rd_p%3D8ba93e34-ad2d-485f-8484-0155afe925e7%26pf_rd_r%3D48FRF7ZH0RRWQSGKXD9G%26qid%3D1726551305%26s%3Daht%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-2-baa1f287-65d3-41a3-a655-8bbba0531537-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1%26smid%3DA1B1TP8XQ7ZVJZ
7,"Bluetooth Headphones Over Ear,BERIBES 65H Playtime and 6 EQ Music Modes with Microphone,HiFi Stereo Foldable Lightweight Wireless Headset,Deep Bass for Home Office Cellphone PC Etc.(White)",$27.99,4.5 ,https://m.media-amazon.com/images/I/61bnUaDGWPL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDcyMjA1Nzg3NDM1OToxNzI2NTUxMzA1OnNwX3NlYXJjaF90aGVtYXRpYzoyMDAxMTUyMTI4MTY5OTg6OjI6Og&url=%2FBluetooth-Headphones-BERIBES-Microphone-Lightweight%2Fdp%2FB0B8YNRS6D%2Fref%3Dsxin_16_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%253Aamzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%26cv_ct_cx%3Dbose%26dib%3DeyJ2IjoiMSJ9.RwL4KX9ewANA3oJ9APhCELsaBrwYLbpxsI85zC0Wia5I6I1z_LrArp2p6uNLQ1x2UcFxjL-iJkWYe8Uc47J6TQ.oH3vus-r66Y1d9TVuQpsdAO0WFOr-mM1FeSDV1oelJM%26dib_tag%3Dse%26keywords%3Dbose%26pd_rd_i%3DB0B8YNRS6D%26pd_rd_r%3D6b735115-a94d-41db-8a08-8a5fa7fcb7eb%26pd_rd_w%3DmdmDb%26pd_rd_wg%3Di2GKP%26pf_rd_p%3D8ba93e34-ad2d-485f-8484-0155afe925e7%26pf_rd_r%3D48FRF7ZH0RRWQSGKXD9G%26qid%3D1726551305%26s%3Daht%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-3-baa1f287-65d3-41a3-a655-8bbba0531537-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
8,"Sennheiser Consumer Audio Momentum 4 Wireless Headphones - Bluetooth Headset for Crystal-Clear Calls with Adaptive Noise Cancellation, 60h Battery Life, Lightweight Folding Design - Black",$249.95,4.1 ,https://m.media-amazon.com/images/I/51QqreSg4fL.__AC_SX300_SY300_QL70_FMwebp_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDcyMjA1Nzg3NDM1OToxNzI2NTUxMzA1OnNwX3NlYXJjaF90aGVtYXRpYzozMDAxMTg4Njg1MzA3MDI6OjM6Og&url=%2FSennheiser-Momentum-Wireless-Headphones-Crystal-Clear%2Fdp%2FB0B6GHW1SX%2Fref%3Dsxin_16_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%253Aamzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%26cv_ct_cx%3Dbose%26dib%3DeyJ2IjoiMSJ9.RwL4KX9ewANA3oJ9APhCELsaBrwYLbpxsI85zC0Wia5I6I1z_LrArp2p6uNLQ1x2UcFxjL-iJkWYe8Uc47J6TQ.oH3vus-r66Y1d9TVuQpsdAO0WFOr-mM1FeSDV1oelJM%26dib_tag%3Dse%26keywords%3Dbose%26pd_rd_i%3DB0B6GHW1SX%26pd_rd_r%3D6b735115-a94d-41db-8a08-8a5fa7fcb7eb%26pd_rd_w%3DmdmDb%26pd_rd_wg%3Di2GKP%26pf_rd_p%3D8ba93e34-ad2d-485f-8484-0155afe925e7%26pf_rd_r%3D48FRF7ZH0RRWQSGKXD9G%26qid%3D1726551305%26s%3Daht%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-4-baa1f287-65d3-41a3-a655-8bbba0531537-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
9,"BERIBES Upgraded Hybrid Active Noise Cancelling Headphones with Transparent Modes,70H Playtime Bluetooth Headphones Wireless Bluetooth with Mic, Deep Bass,3.5MM Cable,Soft-Earpads,Fast Charging-Black",$32.99,4.4 ,https://m.media-amazon.com/images/I/714SLdK9+LL._AC_SY300_SX300_.jpg,,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDcyMjA1Nzg3NDM1OToxNzI2NTUxMzA1OnNwX3NlYXJjaF90aGVtYXRpYzozMDAxMjAyNjI5OTkxMDI6OjQ6Og&url=%2FBERIBES-Cancelling-Transparent-Soft-Earpads-Charging-Black%2Fdp%2FB0CDC4X65Q%2Fref%3Dsxin_16_pa_sp_search_thematic-asin_sspa%3Fcontent-id%3Damzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%253Aamzn1.sym.8ba93e34-ad2d-485f-8484-0155afe925e7%26cv_ct_cx%3Dbose%26dib%3DeyJ2IjoiMSJ9.RwL4KX9ewANA3oJ9APhCELsaBrwYLbpxsI85zC0Wia5I6I1z_LrArp2p6uNLQ1x2UcFxjL-iJkWYe8Uc47J6TQ.oH3vus-r66Y1d9TVuQpsdAO0WFOr-mM1FeSDV1oelJM%26dib_tag%3Dse%26keywords%3Dbose%26pd_rd_i%3DB0CDC4X65Q%26pd_rd_r%3D6b735115-a94d-41db-8a08-8a5fa7fcb7eb%26pd_rd_w%3DmdmDb%26pd_rd_wg%3Di2GKP%26pf_rd_p%3D8ba93e34-ad2d-485f-8484-0155afe925e7%26pf_rd_r%3D48FRF7ZH0RRWQSGKXD9G%26qid%3D1726551305%26s%3Daht%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-5-baa1f287-65d3-41a3-a655-8bbba0531537-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
